"Season","Squad","arrivals_count","departures_count","transfer_spending_eur","transfer_income_eur","net_spend_eur","spend_usd","income_usd","net_spend_usd"
20,"AFC Bournemouth",13,12,54910000,34625000,20285000,59302800,37395000,21907800
20,"Arsenal FC",16,19,160800000,53650000,107150000,173664000,57942000,115722000
20,"Aston Villa",22,22,159500000,3e+06,156500000,172260000,3240000,169020000
20,"Brighton & Hove Albion",25,30,61740000,8500000,53240000,66679200,9180000,57499200
20,"Burnley FC",8,11,23850000,13550000,10300000,25758000,14634000,11124000
20,"Chelsea FC",22,29,4.5e+07,165066000,-120066000,48600000,178271280,-129671280
20,"Crystal Palace",13,15,7600000,55375000,-47775000,8208000,59805000,-51597000
20,"Everton FC",22,22,1.21e+08,87800000,33200000,130680000,94824000,35856000
20,"Leicester City",13,13,104300000,88500000,15800000,112644000,95580000,17064000
20,"Liverpool FC",15,16,10400000,4.8e+07,-37600000,11232000,51840000,-40608000
20,"Manchester City",25,26,169820000,7.1e+07,98820000,183405600,76680000,106725600
20,"Manchester United",13,12,236800000,81180000,155620000,255744000,87674400,168069600
20,"Newcastle United",13,11,72400000,35640000,36760000,78192000,38491200,39700800
20,"Norwich City",22,27,8815000,2200000,6615000,9520200,2376000,7144200
20,"Sheffield United",23,21,72500000,350000,72150000,78300000,378000,77922000
20,"Southampton FC",14,17,61500000,27300000,34200000,66420000,29484000,36936000
20,"Tottenham Hotspur",12,14,150500000,64500000,8.6e+07,162540000,69660000,92880000
20,"Watford FC",21,20,5.6e+07,29400000,26600000,60480000,31752000,28728000
20,"West Ham United",10,17,119800000,55730000,64070000,129384000,60188400,69195600
20,"Wolverhampton Wanderers",27,26,116700000,24100000,92600000,126036000,26028000,100008000
21,"Arsenal FC",16,16,8.6e+07,19150000,66850000,92880000,20682000,72198000
21,"Aston Villa",12,15,101350000,2770000,98580000,109458000,2991600,106466400
21,"Brighton & Hove Albion",28,22,50100000,20600000,29500000,54108000,22248000,31860000
21,"Burnley FC",6,6,1100000,2300000,-1200000,1188000,2484000,-1296000
21,"Chelsea FC",31,26,267200000,57150000,210050000,288576000,61722000,226854000
21,"Crystal Palace",12,8,22400000,2e+07,2400000,24192000,21600000,2592000
21,"Everton FC",20,20,74370000,4430000,69940000,80319600,4784400,75535200
21,"Fulham FC",23,19,37250000,0,37250000,40230000,0,40230000
21,"Leeds United",16,16,127800000,0,127800000,138024000,0,138024000
21,"Leicester City",19,18,59400000,53770000,5630000,64152000,58071600,6080400
21,"Liverpool FC",17,13,84800000,17200000,67600000,91584000,18576000,73008000
21,"Manchester City",27,27,173400000,6.4e+07,109400000,187272000,69120000,118152000
21,"Manchester United",17,17,83950000,19500000,64450000,90666000,21060000,69606000
21,"Newcastle United",10,15,38750000,780000,37970000,41850000,842400,41007600
